date,hour,day_of_week,road_id,road_name,jurisdiction,capacity_vph,inflow_vph,avg_speed_kmh,occupancy_percent,rain_mm,temperature_c,humidity_percent,special_event,congestion_percent
2025-01-01,8,2,RD-01,Wardha Road (NH-44),NMC South,6000,5933,30.9,98.2,0.0,35.4,68.6,0,63.0
2025-01-01,8,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2899,46.3,30.0,0.0,23.1,83.2,0,15.6
2025-01-01,8,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4230,40.2,85.3,0.3,27.1,66.5,0,47.1
2025-01-01,8,2,RD-04,Airport Road,NMC South,5600,6563,27.8,110.0,0.0,27.5,41.8,0,68.9
2025-01-01,8,2,RD-05,Amravati Road,NMC West,7200,2249,46.1,34.2,2.6,32.6,59.4,0,20.0
2025-01-01,8,2,RD-06,Kamptee Road,NMC North,6000,3580,42.6,61.2,0.0,30.4,72.0,0,34.9
2025-01-01,8,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1841,51.6,39.9,3.2,27.6,33.0,0,23.5
2025-01-01,8,2,RD-08,Katol Road,NMC North-West,5400,3062,43.0,56.3,0.0,22.1,59.7,0,32.4
2025-01-01,8,2,RD-09,Koradi Road,NMC North,5600,4009,38.2,70.8,0.0,23.8,33.5,0,38.2
2025-01-01,8,2,RD-10,Manewada Road,NMC South-East,5000,4692,35.9,93.3,0.8,18.2,45.4,0,54.6
2025-01-01,8,2,RD-11,Besa Road,NMC South-East,4600,3571,41.4,73.4,3.3,33.5,71.7,0,45.6
2025-01-01,8,2,RD-12,Ring Road - East,NMRDA Ring,7600,2863,42.5,37.5,0.0,35.4,87.9,0,25.6
2025-01-01,9,2,RD-01,Wardha Road (NH-44),NMC South,6000,6008,29.7,99.8,0.0,31.5,31.0,0,62.6
2025-01-01,9,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2525,47.5,24.6,1.1,34.8,35.4,0,21.6
2025-01-01,9,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4360,35.3,83.2,0.4,32.9,47.5,0,52.9
2025-01-01,9,2,RD-04,Airport Road,NMC South,5600,6222,26.8,110.0,3.4,30.3,91.6,0,70.0
2025-01-01,9,2,RD-05,Amravati Road,NMC West,7200,2407,43.8,31.4,3.1,25.6,70.4,0,18.9
2025-01-01,9,2,RD-06,Kamptee Road,NMC North,6000,3481,42.1,58.8,3.7,30.5,82.6,0,28.4
2025-01-01,9,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1824,47.6,40.6,3.0,29.4,55.0,0,24.7
2025-01-01,9,2,RD-08,Katol Road,NMC North-West,5400,2897,45.8,47.4,0.0,27.4,58.5,0,31.2
2025-01-01,9,2,RD-09,Koradi Road,NMC North,5600,3754,37.6,64.6,6.3,30.0,60.7,0,31.1
2025-01-01,9,2,RD-10,Manewada Road,NMC South-East,5000,4650,36.1,89.8,0.8,26.8,58.5,0,51.7
2025-01-01,9,2,RD-11,Besa Road,NMC South-East,4600,3363,42.5,71.9,0.0,21.2,43.8,0,41.5
2025-01-01,9,2,RD-12,Ring Road - East,NMRDA Ring,7600,2991,41.7,41.3,0.0,17.6,60.1,0,23.8
2025-01-01,10,2,RD-01,Wardha Road (NH-44),NMC South,6000,5943,26.6,98.7,2.0,31.1,53.5,0,60.5
2025-01-01,10,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2366,43.6,29.6,3.4,26.6,85.6,0,12.8
2025-01-01,10,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4441,36.4,85.3,1.4,33.5,58.0,0,50.0
2025-01-01,10,2,RD-04,Airport Road,NMC South,5600,6201,27.5,105.3,1.3,21.8,59.8,0,59.9
2025-01-01,10,2,RD-05,Amravati Road,NMC West,7200,2268,46.2,34.4,0.0,36.6,41.2,0,20.9
2025-01-01,10,2,RD-06,Kamptee Road,NMC North,6000,3695,39.9,62.8,1.3,30.0,70.6,0,38.9
2025-01-01,10,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,2010,48.0,45.8,1.2,30.8,44.4,0,25.1
2025-01-01,10,2,RD-08,Katol Road,NMC North-West,5400,2717,45.6,42.7,0.0,22.7,57.6,0,22.7
2025-01-01,10,2,RD-09,Koradi Road,NMC North,5600,4049,42.1,76.8,1.3,25.8,44.0,0,46.6
2025-01-01,10,2,RD-10,Manewada Road,NMC South-East,5000,5064,35.7,103.9,1.1,31.9,44.7,0,60.9
2025-01-01,10,2,RD-11,Besa Road,NMC South-East,4600,3276,40.4,70.9,0.0,23.7,76.1,0,43.8
2025-01-01,10,2,RD-12,Ring Road - East,NMRDA Ring,7600,2918,42.3,41.7,0.0,24.6,76.8,0,20.4
2025-01-01,11,2,RD-01,Wardha Road (NH-44),NMC South,6000,4671,35.6,78.8,0.0,29.8,64.5,0,46.7
2025-01-01,11,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2300,45.3,27.6,1.6,23.3,83.7,0,20.0
2025-01-01,11,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3546,42.7,66.7,0.2,28.8,66.8,0,38.6
2025-01-01,11,2,RD-04,Airport Road,NMC South,5600,5470,31.4,96.7,0.1,21.7,74.1,0,57.5
2025-01-01,11,2,RD-05,Amravati Road,NMC West,7200,1860,45.2,28.7,2.1,31.3,55.5,0,13.3
2025-01-01,11,2,RD-06,Kamptee Road,NMC North,6000,2980,40.9,47.9,0.0,29.5,41.8,0,25.2
2025-01-01,11,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1658,49.3,34.8,0.8,33.7,72.1,0,20.0
2025-01-01,11,2,RD-08,Katol Road,NMC North-West,5400,2432,48.2,42.7,0.5,23.1,88.1,0,27.8
2025-01-01,11,2,RD-09,Koradi Road,NMC North,5600,3122,41.2,57.9,0.0,24.8,26.0,0,34.4
2025-01-01,11,2,RD-10,Manewada Road,NMC South-East,5000,3915,40.6,80.4,2.7,30.4,74.5,0,49.3
2025-01-01,11,2,RD-11,Besa Road,NMC South-East,4600,2877,41.1,61.8,0.0,23.4,42.2,0,37.5
2025-01-01,11,2,RD-12,Ring Road - East,NMRDA Ring,7600,2374,46.4,29.1,2.5,25.4,69.6,0,14.4
2025-01-01,12,2,RD-01,Wardha Road (NH-44),NMC South,6000,3315,43.7,55.4,0.7,23.8,62.7,0,30.5
2025-01-01,12,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1393,44.5,13.3,2.6,28.5,47.8,0,6.4
2025-01-01,12,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2193,47.9,35.9,0.0,21.6,55.8,0,22.1
2025-01-01,12,2,RD-04,Airport Road,NMC South,5600,3620,41.2,65.5,0.0,22.4,77.6,0,36.6
2025-01-01,12,2,RD-05,Amravati Road,NMC West,7200,1192,51.9,17.7,1.1,27.4,51.4,0,10.4
2025-01-01,12,2,RD-06,Kamptee Road,NMC North,6000,2135,44.2,41.4,1.4,26.5,61.4,0,21.6
2025-01-01,12,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1123,55.9,30.9,0.0,28.8,69.6,0,19.0
2025-01-01,12,2,RD-08,Katol Road,NMC North-West,5400,1595,47.4,21.4,1.8,27.3,85.7,0,19.0
2025-01-01,12,2,RD-09,Koradi Road,NMC North,5600,2045,48.0,38.5,2.7,31.4,47.2,0,22.2
2025-01-01,12,2,RD-10,Manewada Road,NMC South-East,5000,2454,46.6,47.3,3.2,29.1,65.7,0,25.2
2025-01-01,12,2,RD-11,Besa Road,NMC South-East,4600,1817,52.0,36.8,3.8,32.1,69.0,0,20.7
2025-01-01,12,2,RD-12,Ring Road - East,NMRDA Ring,7600,1664,48.6,22.5,1.0,23.8,51.2,0,14.5
2025-01-01,13,2,RD-01,Wardha Road (NH-44),NMC South,6000,3465,38.5,57.9,0.0,27.9,63.2,0,29.9
2025-01-01,13,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1378,52.6,17.6,3.6,20.6,63.7,0,7.2
2025-01-01,13,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2360,48.1,46.7,1.2,28.9,50.2,0,25.4
2025-01-01,13,2,RD-04,Airport Road,NMC South,5600,3224,40.0,62.6,3.0,41.3,63.5,0,42.8
2025-01-01,13,2,RD-05,Amravati Road,NMC West,7200,1284,48.6,15.5,0.0,25.1,47.3,0,11.6
2025-01-01,13,2,RD-06,Kamptee Road,NMC North,6000,1905,48.3,34.5,0.0,24.6,43.4,0,21.3
2025-01-01,13,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1079,45.4,21.0,0.7,28.9,46.6,0,11.6
2025-01-01,13,2,RD-08,Katol Road,NMC North-West,5400,1709,50.0,33.9,0.0,27.2,63.8,0,17.7
2025-01-01,13,2,RD-09,Koradi Road,NMC North,5600,1986,49.3,35.1,0.8,28.8,57.5,0,19.4
2025-01-01,13,2,RD-10,Manewada Road,NMC South-East,5000,2629,44.8,53.2,0.0,28.1,69.5,0,34.2
2025-01-01,13,2,RD-11,Besa Road,NMC South-East,4600,1653,46.8,41.2,5.8,30.0,39.7,0,22.7
2025-01-01,13,2,RD-12,Ring Road - East,NMRDA Ring,7600,1640,46.6,18.9,0.0,33.3,62.6,0,11.4
2025-01-01,14,2,RD-01,Wardha Road (NH-44),NMC South,6000,3216,43.6,50.6,0.0,30.7,65.4,0,26.5
2025-01-01,14,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1456,52.0,18.1,0.4,28.0,61.5,0,10.9
2025-01-01,14,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2254,48.7,44.7,1.2,21.0,53.4,0,16.7
2025-01-01,14,2,RD-04,Airport Road,NMC South,5600,3411,39.5,58.9,0.0,25.3,51.5,0,28.2
2025-01-01,14,2,RD-05,Amravati Road,NMC West,7200,1157,57.9,13.2,5.0,33.5,74.8,0,11.9
2025-01-01,14,2,RD-06,Kamptee Road,NMC North,6000,1926,45.0,33.3,0.9,24.3,49.4,0,16.5
2025-01-01,14,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1068,52.3,22.7,2.0,27.2,63.7,0,20.0
2025-01-01,14,2,RD-08,Katol Road,NMC North-West,5400,1500,46.8,27.5,0.0,25.1,55.7,0,14.2
2025-01-01,14,2,RD-09,Koradi Road,NMC North,5600,2196,43.4,41.5,0.5,22.1,47.8,0,22.3
2025-01-01,14,2,RD-10,Manewada Road,NMC South-East,5000,2733,43.5,52.9,0.0,30.7,74.5,0,29.3
2025-01-01,14,2,RD-11,Besa Road,NMC South-East,4600,1982,47.8,39.7,2.7,32.7,65.6,0,24.3
2025-01-01,14,2,RD-12,Ring Road - East,NMRDA Ring,7600,1579,47.7,12.4,1.7,26.9,57.5,0,9.4
2025-01-01,15,2,RD-01,Wardha Road (NH-44),NMC South,6000,3150,40.8,52.2,3.1,22.9,69.2,0,32.6
2025-01-01,15,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1421,52.5,12.7,0.0,24.9,45.6,0,0.7
2025-01-01,15,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2343,40.3,46.3,0.0,28.6,76.9,0,22.1
2025-01-01,15,2,RD-04,Airport Road,NMC South,5600,3415,43.4,60.3,0.0,34.8,75.7,0,34.1
2025-01-01,15,2,RD-05,Amravati Road,NMC West,7200,1164,56.7,13.9,0.0,29.8,70.9,0,9.1
2025-01-01,15,2,RD-06,Kamptee Road,NMC North,6000,2069,49.9,32.8,0.0,24.8,75.3,0,19.7
2025-01-01,15,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1040,54.6,21.8,2.0,32.7,57.1,0,8.5
2025-01-01,15,2,RD-08,Katol Road,NMC North-West,5400,1477,51.0,25.9,0.0,27.3,52.4,0,17.6
2025-01-01,15,2,RD-09,Koradi Road,NMC North,5600,2207,49.1,38.5,0.0,31.1,43.4,0,19.5
2025-01-01,15,2,RD-10,Manewada Road,NMC South-East,5000,2537,43.5,51.9,4.2,27.1,43.6,0,32.7
2025-01-01,15,2,RD-11,Besa Road,NMC South-East,4600,2007,49.9,43.9,0.0,31.9,59.8,0,20.0
2025-01-01,15,2,RD-12,Ring Road - East,NMRDA Ring,7600,1667,52.5,17.3,0.0,21.3,61.0,0,5.9
2025-01-01,16,2,RD-01,Wardha Road (NH-44),NMC South,6000,3171,43.7,53.0,0.0,29.7,65.9,0,33.7
2025-01-01,16,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1549,51.7,21.1,0.0,27.3,46.8,0,16.3
2025-01-01,16,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2340,45.2,39.7,3.8,34.7,51.1,0,21.6
2025-01-01,16,2,RD-04,Airport Road,NMC South,5600,3164,43.6,56.5,2.7,26.1,73.3,0,31.1
2025-01-01,16,2,RD-05,Amravati Road,NMC West,7200,1333,50.5,22.1,0.0,34.4,48.3,0,12.5
2025-01-01,16,2,RD-06,Kamptee Road,NMC North,6000,2099,45.6,36.6,0.2,30.3,63.7,0,22.1
2025-01-01,16,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1093,50.0,32.0,0.0,32.4,73.5,0,15.5
2025-01-01,16,2,RD-08,Katol Road,NMC North-West,5400,1503,46.5,26.2,0.0,30.2,55.5,0,17.2
2025-01-01,16,2,RD-09,Koradi Road,NMC North,5600,2052,44.5,33.0,0.1,32.8,58.1,0,16.8
2025-01-01,16,2,RD-10,Manewada Road,NMC South-East,5000,2403,47.3,41.2,5.1,22.9,48.8,0,21.0
2025-01-01,16,2,RD-11,Besa Road,NMC South-East,4600,1797,48.5,41.2,1.5,21.2,64.7,0,23.7
2025-01-01,16,2,RD-12,Ring Road - East,NMRDA Ring,7600,1598,47.4,22.9,2.6,31.1,85.0,0,11.1
2025-01-01,17,2,RD-01,Wardha Road (NH-44),NMC South,6000,4790,33.1,77.9,1.7,26.9,59.4,0,44.2
2025-01-01,17,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2310,46.3,34.5,1.7,26.4,53.3,0,16.8
2025-01-01,17,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3577,37.8,71.1,4.2,29.0,76.8,0,42.0
2025-01-01,17,2,RD-04,Airport Road,NMC South,5600,5133,32.4,89.8,2.4,26.0,68.1,0,51.5
2025-01-01,17,2,RD-05,Amravati Road,NMC West,7200,1909,46.9,27.5,0.0,27.4,83.5,0,17.4
2025-01-01,17,2,RD-06,Kamptee Road,NMC North,6000,3294,42.1,59.0,0.0,18.7,65.7,0,33.7
2025-01-01,17,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1677,50.1,35.9,0.0,27.4,77.4,0,21.2
2025-01-01,17,2,RD-08,Katol Road,NMC North-West,5400,2422,47.1,46.6,0.9,29.5,77.9,0,21.8
2025-01-01,17,2,RD-09,Koradi Road,NMC North,5600,3080,44.5,52.4,3.0,34.8,62.3,0,30.9
2025-01-01,17,2,RD-10,Manewada Road,NMC South-East,5000,3892,38.3,74.5,1.6,24.8,45.3,0,46.5
2025-01-01,17,2,RD-11,Besa Road,NMC South-East,4600,3105,40.9,68.3,0.0,29.7,37.5,0,45.9
2025-01-01,17,2,RD-12,Ring Road - East,NMRDA Ring,7600,2668,40.3,36.1,0.2,34.0,48.5,1,18.1
2025-01-01,18,2,RD-01,Wardha Road (NH-44),NMC South,6000,6841,20.8,105.0,0.0,33.2,63.7,0,71.2
2025-01-01,18,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2865,45.4,31.2,0.0,28.3,37.4,0,10.4
